Codigo,Nombre,Carrera,A�o,Cuatrimestre,Profesores,Alumnos Esperados,Horas Frente a Curso,Comisiones
B6012,Análisis de Circuitos,Ingeniería en Computación,2,CUATRIMESTRE_2,"[{'categoria': 'Ayudante de Primera', 'nombre': 'MARIANO', 'apellido': 'SANTAYA'}, {'categoria': 'Profesor Adjunto', 'nombre': 'GRETEL VICTORIA ', 'apellido': 'LASCANO WARNES'}]",30,4,1
B6025,Inteligencia Artificial,Ingeniería en Computación,4,CUATRIMESTRE_2,"[{'categoria': 'Profesor Adjunto', 'nombre': 'WALTER FABIAN', 'apellido': 'AGÜERO'}]",10,6,1
B6020,Redes de Área Local y Extendida,Ingeniería en Computación,3,CUATRIMESTRE_2,"[{'categoria': 'Jefe de trabajos prácticos', 'nombre': 'IGNACIO ENRIQUE', 'apellido': 'CATALANO'}]",20,6,1
B6019,Señales y Sistemas,Ingeniería en Computación,3,CUATRIMESTRE_2,"[{'categoria': 'Profesor Adjunto', 'nombre': 'GUILLERMO ENRIQUE', 'apellido': 'GOMEZ'}]",20,6,1
B6018,Sistemas Operativos I,Ingeniería en Computación,3,CUATRIMESTRE_2,"[{'categoria': 'Profesor Adjunto', 'nombre': 'CARLOS GERMÁN', 'apellido': 'TEJERO'}]",19,6,1
B6017,Seguridad Ambiental y Laboral,Ingeniería en Computación,3,CUATRIMESTRE_2,"[{'categoria': 'Profesor Adjunto', 'nombre': 'VANINA ESTELA', 'apellido': 'RIBERI'}]",30,6,1
B6011,Física General II,Ingeniería en Computación,2,CUATRIMESTRE_2,"[{'categoria': 'Profesor Adjunto', 'nombre': 'CATERINA', 'apellido': 'LAMPERTI'}, {'categoria': 'Ayudante de Primera', 'nombre': 'LORENA LUISA', 'apellido': 'BAEZ'}]",12,4,1
B6010,Matemática III,Ingeniería en Computación,2,CUATRIMESTRE_2,"[{'categoria': 'Profesor Adjunto', 'nombre': 'CATERINA', 'apellido': 'LAMPERTI'}, {'categoria': 'Jefe de trabajos prácticos', 'nombre': 'FABIAN EDUARDO', 'apellido': 'GIANA'}]",10,6,1
B6005,Química,Ingeniería en Computación,1,CUATRIMESTRE_2,"[{'categoria': 'Jefe de trabajos prácticos', 'nombre': 'GASTON EDUARDO', 'apellido': 'DI BONIS'}, {'categoria': 'Jefe de trabajos prácticos', 'nombre': 'RAFAEL FERNANDO', 'apellido': 'RUANO'}]",100,8,2
B6004,Electrónica Digital,Ingeniería en Computación,1,CUATRIMESTRE_2,"[{'categoria': 'Ayudante de Primera', 'nombre': 'JUAN PABLO', 'apellido': 'CALDO'}, {'categoria': 'Profesor Adjunto', 'nombre': 'LAUTARO', 'apellido': 'ACHA'}]",120,6,2
B6003,Programación I,Ingeniería en Computación,1,CUATRIMESTRE_2,"[{'categoria': 'Profesor Adjunto', 'nombre': 'Miguel', 'apellido': 'MARIGUIN'}, {'categoria': 'Profesor Adjunto', 'nombre': 'MARTIN RENE', 'apellido': 'VILUGRON'}, {'categoria': 'Ayudante de Primera', 'nombre': 'MAURO ALEJANDRO', 'apellido': 'FERMIN'}, {'categoria': 'Ayudante de Primera', 'nombre': 'DANIEL EDUARDO', 'apellido': 'TEIRA'}, {'categoria': 'Ayudante de Primera', 'nombre': 'NICOLÁS LUCIANO', 'apellido': 'BERTOLO'}, {'categoria': 'Profesor Adjunto', 'nombre': 'IVAN PEDRO', 'apellido': 'NOMDEDEU'}]",120,6,2
B6002,Física General I,Ingeniería en Computación,1,CUATRIMESTRE_2,"[{'categoria': 'Ayudante de Primera', 'nombre': 'LORENA LUISA', 'apellido': 'BAEZ'}, {'categoria': 'Profesor Adjunto', 'nombre': 'CATERINA', 'apellido': 'LAMPERTI'}, {'categoria': 'Profesor Adjunto', 'nombre': 'MARÍA DE LOS ÁNGELE', 'apellido': 'DA FONSECA'}, {'categoria': 'Ayudante de Primera', 'nombre': 'LORENA LUISA', 'apellido': 'BAEZ'}]",73,4,1
B5638,Inglés Técnico,Ingeniería en Computación,2,CUATRIMESTRE_2,"[{'categoria': 'Profesor Adjunto', 'nombre': 'MONICA DELIA', 'apellido': 'LORENZO DE MAGOIA'}]",40,4,1
